".colorLevels",".ci",".y",".sids",".axisIndex","S100QC..Run",".ri",".colorHash",".xLevels",".nXLevels",".nValuesPerXLevel",".xSeqPerLevels",".xs",".ys",".y0s"
1,22,11.054028307476083,1462,0,"b",53,12905,0,1,1,0,32767,51363,65535
1,23,11.341298523619232,1463,0,"b",53,12905,0,1,1,0,32767,63129,65535
0,20,11.294230591123418,1464,0,"a",54,12774,0,1,1,0,32767,44510,65535
1,21,11.049360549414274,1465,0,"b",54,12905,0,1,1,0,32767,37216,65535
0,20,4.414186602739351,1466,0,"a",55,12774,0,1,1,0,32767,26047,65535
1,21,4.283306800860055,1467,0,"b",55,12905,0,1,1,0,32767,22318,65535
1,22,11.494044207080304,1468,0,"b",54,12905,0,1,1,0,32767,50462,65535
1,23,11.902491072774147,1469,0,"b",54,12905,0,1,1,0,32767,62629,65535
1,22,4.488825403632107,1470,0,"b",55,12905,0,1,1,0,32767,28174,65535
1,23,4.406505865657727,1471,0,"b",55,12905,0,1,1,0,32767,25829,65535
1,16,9.83932265071624,1472,0,"b",56,12905,0,1,1,0,32767,38161,65535
1,17,9.977387937952921,1473,0,"b",56,12905,0,1,1,0,32767,42095,65535
1,16,9.981701898081079,1474,0,"b",57,12905,0,1,1,0,32767,36519,65535
1,17,10.071917654927393,1475,0,"b",57,12905,0,1,1,0,32767,39090,65535
0,18,10.550165961042092,1476,0,"a",56,12774,0,1,1,0,32767,58415,65535
0,19,10.033474948428838,1477,0,"a",56,12774,0,1,1,0,32767,43693,65535
0,18,10.375367353848823,1478,0,"a",57,12774,0,1,1,0,32767,47736,65535
0,19,10.412869382778455,1479,0,"a",57,12774,0,1,1,0,32767,48804,65535
1,16,8.845371695389044,1480,0,"b",58,12905,0,1,1,0,32767,32645,65535
1,17,9.019748064640373,1481,0,"b",58,12905,0,1,1,0,32767,37216,65535
1,16,8.422620182942286,1482,0,"b",59,12905,0,1,1,0,32767,12041,65535
1,17,8.360370902784618,1483,0,"b",59,12905,0,1,1,0,32767,10268,65535
0,18,10.045630891865306,1484,0,"a",58,12774,0,1,1,0,32767,64108,65535
0,19,8.840748238817307,1485,0,"a",58,12774,0,1,1,0,32767,32524,65535
0,18,9.684384750392073,1486,0,"a",59,12774,0,1,1,0,32767,47993,65535
0,19,9.120604685978572,1487,0,"a",59,12774,0,1,1,0,32767,31929,65535
0,20,10.148548529268343,1488,0,"a",56,12774,0,1,1,0,32767,46972,65535
1,21,9.70063600763198,1489,0,"b",56,12905,0,1,1,0,32767,34209,65535
0,20,10.422223478498703,1490,0,"a",57,12774,0,1,1,0,32767,49071,65535
1,21,10.183705596431299,1491,0,"b",57,12905,0,1,1,0,32767,42275,65535
1,22,10.239621044095067,1492,0,"b",56,12905,0,1,1,0,32767,49567,65535
1,23,10.78731738127001,1493,0,"b",56,12905,0,1,1,0,32767,65172,65535
1,22,10.272431722917101,1494,0,"b",57,12905,0,1,1,0,32767,44803,65535
1,23,10.909666698764534,1495,0,"b",57,12905,0,1,1,0,32767,62960,65535
0,20,8.85363322425299,1496,0,"a",58,12774,0,1,1,0,32767,32862,65535
1,21,9.155868348696762,1497,0,"b",58,12905,0,1,1,0,32767,40784,65535
0,20,8.851749041416058,1498,0,"a",59,12774,0,1,1,0,32767,24268,65535
1,21,8.855984997601041,1499,0,"b",59,12905,0,1,1,0,32767,24389,65535
1,22,9.092757140919852,1500,0,"b",58,12905,0,1,1,0,32767,39130,65535
1,23,9.749395121892066,1501,0,"b",58,12905,0,1,1,0,32767,56343,65535
1,22,8.69111799959284,1502,0,"b",59,12905,0,1,1,0,32767,19692,65535
1,23,8.873037776773812,1503,0,"b",59,12905,0,1,1,0,32767,24875,65535
1,16,8.187772228052205,1504,0,"b",60,12905,0,1,1,0,32767,44402,65535
1,17,8.242724727703466,1505,0,"b",60,12905,0,1,1,0,32767,45123,65535
1,16,6.8237878070574896,1506,0,"b",61,12905,0,1,1,0,32767,34701,65535
1,17,6.940964529703048,1507,0,"b",61,12905,0,1,1,0,32767,37772,65535
0,18,8.374055216386031,1508,0,"a",60,12774,0,1,1,0,32767,46844,65535
0,19,8.409230805715106,1509,0,"a",60,12774,0,1,1,0,32767,47305,65535
0,18,7.998297704769,1510,0,"a",61,12774,0,1,1,0,32767,65489,65535
0,19,7.333788250097423,1511,0,"a",61,12774,0,1,1,0,32767,48070,65535
1,16,10.423928534196452,1512,0,"b",62,12905,0,1,1,0,32767,33551,65535
1,17,10.670088344425729,1513,0,"b",62,12905,0,1,1,0,32767,41616,65535
1,16,11.507065331037884,1514,0,"b",63,12905,0,1,1,0,32767,34735,65535
1,17,11.443295444223937,1515,0,"b",63,12905,0,1,1,0,32767,32535,65535
0,18,11.239215723098846,1516,0,"a",62,12774,0,1,1,0,32767,60265,65535
0,19,10.588467153800906,1517,0,"a",62,12774,0,1,1,0,32767,38942,65535
0,18,12.349771513867575,1518,0,"a",63,12774,0,1,1,0,32767,63801,65535
0,19,11.657133033782952,1519,0,"a",63,12774,0,1,1,0,32767,39911,65535
0,20,8.493062396518578,1520,0,"a",60,12774,0,1,1,0,32767,48404,65535
1,21,7.4815329110657505,1521,0,"b",60,12905,0,1,1,0,32767,35146,65535
0,20,7.31988509944439,1522,0,"a",61,12774,0,1,1,0,32767,47705,65535
1,21,7.27945727875807,1523,0,"b",61,12905,0,1,1,0,32767,46645,65535
1,22,8.694669979329362,1524,0,"b",60,12905,0,1,1,0,32767,51046,65535
1,23,9.795886503624128,1525,0,"b",60,12905,0,1,1,0,32767,65480,65535
1,22,7.215326941338355,1526,0,"b",61,12905,0,1,1,0,32767,44964,65535
1,23,7.594571083034269,1527,0,"b",61,12905,0,1,1,0,32767,54906,65535
0,20,10.695622264155748,1528,0,"a",62,12774,0,1,1,0,32767,42453,65535
1,21,10.879843296185582,1529,0,"b",62,12905,0,1,1,0,32767,48490,65535
0,20,11.71217007038729,1530,0,"a",63,12774,0,1,1,0,32767,41809,65535
1,21,11.522618540516566,1531,0,"b",63,12905,0,1,1,0,32767,35271,65535
1,22,10.688184318142365,1532,0,"b",62,12905,0,1,1,0,32767,42209,65535
1,23,11.266123547603675,1533,0,"b",62,12905,0,1,1,0,32767,61147,65535
1,22,11.762052908548252,1534,0,"b",63,12905,0,1,1,0,32767,43530,65535
1,23,11.994244632225081,1535,0,"b",63,12905,0,1,1,0,32767,51538,65535
0,0,5.634023319172043,1536,0,"a",64,12774,0,1,1,0,32767,35389,65535
0,1,5.733558992722957,1537,0,"a",64,12774,0,1,1,0,32767,38495,65535
0,0,9.057532013595344,1538,0,"a",65,12774,0,1,1,0,32767,64503,65535
0,1,8.08245034562053,1539,0,"a",65,12774,0,1,1,0,32767,40836,65535
0,2,6.483967839982805,1540,0,"a",64,12774,0,1,1,0,32767,61913,65535
1,3,5.53417439080698,1541,0,"b",64,12905,0,1,1,0,32767,32273,65535
0,2,8.41769332095019,1542,0,"a",65,12774,0,1,1,0,32767,48973,65535
1,3,7.0105940778660685,1543,0,"b",65,12905,0,1,1,0,32767,14820,65535
0,0,6.016913382936346,1544,0,"a",66,12774,0,1,1,0,32767,53357,65535
0,1,4.733558992722957,1545,0,"a",66,12774,0,1,1,0,32767,21010,65535
0,0,8.987612608963383,1546,0,"a",67,12774,0,1,1,0,32767,44132,65535
0,1,9.015862085767557,1547,0,"a",67,12774,0,1,1,0,32767,44729,65535
0,2,5.048512577881534,1548,0,"a",66,12774,0,1,1,0,32767,28948,65535
1,3,4.079434467494405,1549,0,"b",66,12905,0,1,1,0,32767,4522,65535
0,2,9.921223429119392,1550,0,"a",67,12774,0,1,1,0,32767,63868,65535
1,3,7.8302610652968285,1551,0,"b",67,12905,0,1,1,0,32767,19665,65535
1,4,5.420556127615078,1552,0,"b",64,12905,0,1,1,0,32767,28727,65535
1,5,5.262183509294301,1553,0,"b",64,12905,0,1,1,0,32767,23785,65535
